episode,char1,char2,count
Meeseeks_and_Destroy.txt,all meeseeks,morty,1
Meeseeks_and_Destroy.txt,all meeseeks,mr. booby buyer,1
Meeseeks_and_Destroy.txt,all meeseeks,mr. jelly bean,1
Meeseeks_and_Destroy.txt,all meeseeks,new meeseeks,1
Meeseeks_and_Destroy.txt,all meeseeks,note,1
Meeseeks_and_Destroy.txt,all meeseeks,owner,1
Meeseeks_and_Destroy.txt,all meeseeks,principal gene v.,1
Meeseeks_and_Destroy.txt,all meeseeks,rick,1
Meeseeks_and_Destroy.txt,all meeseeks,samantha,1
Meeseeks_and_Destroy.txt,all meeseeks,slippery,1
Meeseeks_and_Destroy.txt,all meeseeks,summer,1
Meeseeks_and_Destroy.txt,all meeseeks,the first villager,1
Meeseeks_and_Destroy.txt,all meeseeks,villager,1
Meeseeks_and_Destroy.txt,all meeseeks,villager 1,1
Meeseeks_and_Destroy.txt,all meeseeks,villager 2,1
Meeseeks_and_Destroy.txt,all meeseeks,waiter,1
Meeseeks_and_Destroy.txt,all meeseeks,waitess,1
Meeseeks_and_Destroy.txt,all meeseeks,waitress,1
Meeseeks_and_Destroy.txt,all meeseeks,woman,1
Meeseeks_and_Destroy.txt,all other meeseeks,all the meeseeks,1
Meeseeks_and_Destroy.txt,all other meeseeks,beth,1
Meeseeks_and_Destroy.txt,all other meeseeks,card player,1
Meeseeks_and_Destroy.txt,all other meeseeks,detective,1
Meeseeks_and_Destroy.txt,all other meeseeks,giant,1
Meeseeks_and_Destroy.txt,all other meeseeks,giant lawyer,1
Meeseeks_and_Destroy.txt,all other meeseeks,giant woman,1
Meeseeks_and_Destroy.txt,all other meeseeks,jerry,1
Meeseeks_and_Destroy.txt,all other meeseeks,judge,1
Meeseeks_and_Destroy.txt,all other meeseeks,meeseeks,1
Meeseeks_and_Destroy.txt,all other meeseeks,meeseeks *,1
Meeseeks_and_Destroy.txt,all other meeseeks,meeseeks 1,1
Meeseeks_and_Destroy.txt,all other meeseeks,meeseeks 2,1
Meeseeks_and_Destroy.txt,all other meeseeks,meeseeks 3,1
Meeseeks_and_Destroy.txt,all other meeseeks,meeseeks 4,1
Meeseeks_and_Destroy.txt,all other meeseeks,morty,1
Meeseeks_and_Destroy.txt,all other meeseeks,mr. booby buyer,1
Meeseeks_and_Destroy.txt,all other meeseeks,mr. jelly bean,1
Meeseeks_and_Destroy.txt,all other meeseeks,new meeseeks,1
Meeseeks_and_Destroy.txt,all other meeseeks,note,1
Meeseeks_and_Destroy.txt,all other meeseeks,owner,1
Meeseeks_and_Destroy.txt,all other meeseeks,principal gene v.,1
Meeseeks_and_Destroy.txt,all other meeseeks,rick,1
Meeseeks_and_Destroy.txt,all other meeseeks,samantha,1
Meeseeks_and_Destroy.txt,all other meeseeks,slippery,1
Meeseeks_and_Destroy.txt,all other meeseeks,summer,1
Meeseeks_and_Destroy.txt,all other meeseeks,the first villager,1
Meeseeks_and_Destroy.txt,all other meeseeks,villager,1
Meeseeks_and_Destroy.txt,all other meeseeks,villager 1,1
Meeseeks_and_Destroy.txt,all other meeseeks,villager 2,1
Meeseeks_and_Destroy.txt,all other meeseeks,waiter,1
Meeseeks_and_Destroy.txt,all other meeseeks,waitess,1
Meeseeks_and_Destroy.txt,all other meeseeks,waitress,1
Meeseeks_and_Destroy.txt,all other meeseeks,woman,1
Meeseeks_and_Destroy.txt,all the meeseeks,beth,1
Meeseeks_and_Destroy.txt,all the meeseeks,card player,1
Meeseeks_and_Destroy.txt,all the meeseeks,detective,1
Meeseeks_and_Destroy.txt,all the meeseeks,giant,1
Meeseeks_and_Destroy.txt,all the meeseeks,giant lawyer,1
Meeseeks_and_Destroy.txt,all the meeseeks,giant woman,1
Meeseeks_and_Destroy.txt,all the meeseeks,jerry,1
Meeseeks_and_Destroy.txt,all the meeseeks,judge,1
Meeseeks_and_Destroy.txt,all the meeseeks,meeseeks,1
Meeseeks_and_Destroy.txt,all the meeseeks,meeseeks *,1
Meeseeks_and_Destroy.txt,all the meeseeks,meeseeks 1,1
Meeseeks_and_Destroy.txt,all the meeseeks,meeseeks 2,1
